id,no_of_storeys,storey_variable
10359,17,high
10360,14,high
10361,4,Low
10362,5,Medium
10363,4,Low
10364,4,Low
10365,4,Low
10366,7,Medium
10367,32,high
10368,4,Low
10369,4,Low
10370,7,Medium
10371,5,Medium
10372,6,Medium
10373,7,Medium
10374,3,Low
10375,10,high
10376,3,Low
10377,12,high
10378,4,Low
10379,18,high
10380,3,Low
10381,7,Medium
10382,3,Low
10383,15,high
10384,12,high
10385,6,Medium
10386,9,high
10387,8,high
10388,20,high
10389,3,Low
10390,3,Low
10391,19,high
10392,10,high
10393,10,high
10394,16,high
10395,21,high
10396,14,high
10397,4,Low
10398,3,Low
10399,4,Low
10400,3,Low
10401,3,Low
10402,24,high
10403,4,Low
10404,3,Low
10405,13,high
10406,7,Medium
10407,19,high
10408,4,Low
10409,3,Low
10410,22,high
10411,30,high
10412,4,Low
10413,4,Low
10414,5,Medium
10415,7,Medium
10416,10,high
10417,12,high
10418,17,high
10419,17,high
10420,17,high
10421,4,Low
10422,8,high
10423,8,high
10424,4,Low
10425,11,high
10426,15,high
10427,3,Low
10428,4,Low
10429,3,Low
10430,4,Low
10431,18,high
10432,11,high
10433,4,Low
10434,4,Low
10435,4,Low
10436,14,high
10437,3,Low
10438,5,Medium
10439,10,high
10440,3,Low
10441,25,high
10442,3,Low
10443,6,Medium
10444,6,Medium
10445,16,high
10446,12,high
10447,20,high
10448,3,Low
10449,4,Low
10450,4,Low
10451,10,high
10452,14,high
10453,6,Medium
10454,6,Medium
10455,7,Medium
10456,3,Low
10457,4,Low
10458,5,Medium
10459,4,Low
10460,9,high
10461,14,high
10462,6,Medium
10463,3,Low
10464,9,high
10465,3,Low
10466,7,Medium
10467,7,Medium
10468,12,high
10469,4,Low
10470,5,Medium
10471,3,Low
10472,3,Low
10473,6,Medium
10474,6,Medium
10475,4,Low
10476,4,Low
10477,4,Low
10478,3,Low
10479,4,Low
10480,4,Low
10481,4,Low
10482,6,Medium
10483,8,high
10484,4,Low
10485,9,high
10486,13,high
10487,3,Low
10488,3,Low
10489,20,high
10490,4,Low
10491,3,Low
10492,28,high
10493,13,high
10494,3,Low
10495,12,high
10496,4,Low
10497,4,Low
10498,10,high
10499,10,high
10500,11,high
10501,3,Low
10502,4,Low
10503,3,Low
10504,4,Low
10505,4,Low
10506,13,high
10507,5,Medium
10508,5,Medium
10509,7,Medium
10510,24,high
10511,3,Low
10512,7,Medium
10513,7,Medium
10514,4,Low
10515,6,Medium
10516,11,high
10517,28,high
10518,30,high
10519,3,Low
10520,3,Low
10521,4,Low
10522,3,Low
10523,3,Low
10524,36,high
10525,3,Low
10526,6,Medium
10527,3,Low
10528,4,Low
10529,0,Low
10530,17,high
10531,8,high
10532,3,Low
10533,19,high
10534,3,Low
10535,29,high
10536,4,Low
10537,4,Low
10538,27,high
10539,5,Medium
10540,4,Low
10541,4,Low
10542,7,Medium
10543,4,Low
10544,3,Low
10545,8,high
10546,15,high
10547,18,high
10548,17,high
10549,10,high
10550,23,high
10551,3,Low
10552,3,Low
10553,3,Low
10554,24,high
10555,21,high
10556,3,Low
10557,3,Low
10558,3,Low
10559,4,Low
10560,5,Medium
10561,7,Medium
10562,18,high
10563,3,Low
10564,4,Low
10565,4,Low
10566,4,Low
10567,4,Low
10568,4,Low
10569,4,Low
10570,8,high
10571,4,Low
10572,6,Medium
10573,27,high
10574,7,Medium
10575,4,Low
10576,9,high
10577,4,Low
10578,4,Low
10579,4,Low
10580,4,Low
10581,4,Low
10582,16,high
10583,5,Medium
10584,7,Medium
10585,14,high
10586,6,Medium
10587,3,Low
10588,4,Low
10589,20,high
10590,14,high
10591,14,high
10592,4,Low
10593,4,Low
10594,8,high
10595,15,high
10596,8,high
10597,13,high
10598,5,Medium
10599,5,Medium
10600,18,high
10601,3,Low
10602,7,Medium
10603,5,Medium
10604,13,high
10605,3,Low
10606,4,Low
10607,4,Low
10608,9,high
10609,3,Low
10610,7,Medium
10611,4,Low
10612,3,Low
10613,20,high
10614,12,high
10615,9,high
10616,17,high
10617,16,high
10618,4,Low
10619,3,Low
10620,3,Low
10621,4,Low
10622,4,Low
10623,4,Low
10624,4,Low
10625,3,Low
10626,7,Medium
10627,6,Medium
10628,8,high
10629,4,Low
10630,6,Medium
10631,3,Low
10632,3,Low
10633,3,Low
10634,17,high
10635,17,high
10636,4,Low
10637,3,Low
10638,4,Low
10639,3,Low
10640,21,high
10641,10,high
10642,14,high
10643,4,Low
10644,4,Low
10645,3,Low
10646,3,Low
10647,3,Low
10648,12,high
10649,16,high
10650,15,high
10651,3,Low
10652,4,Low
10653,3,Low
10654,3,Low
10655,4,Low
10656,9,high
10657,9,high
10658,4,Low
10659,4,Low
10660,3,Low
10661,3,Low
10662,6,Medium
10663,3,Low
10664,18,high
10665,7,Medium
10666,7,Medium
10667,6,Medium
10668,3,Low
10669,6,Medium
10670,21,high
10671,14,high
10672,21,high
10673,20,high
10674,15,high
10675,10,high
10676,22,high
10677,22,high
10678,4,Low
10679,3,Low
10680,4,Low
10681,4,Low
10682,4,Low
10683,4,Low
10684,4,Low
10685,3,Low
10686,4,Low
10687,10,high
10688,8,high
10689,8,high
10690,8,high
10691,15,high
10692,3,Low
10693,4,Low
10694,4,Low
10695,3,Low
10696,3,Low
10697,3,Low
10698,7,Medium
10699,3,Low
10700,3,Low
10701,3,Low
10702,6,Medium
10703,3,Low
10704,3,Low
10705,4,Low
10706,8,high
10707,6,Medium
10708,3,Low
10709,3,Low
10710,7,Medium
10711,29,high
10712,4,Low
10713,4,Low
10714,9,high
10715,15,high
10716,4,Low
10717,10,high
10718,8,high
10719,3,Low
10720,10,high
10721,4,Low
10722,4,Low
10723,18,high
10724,3,Low
10725,7,Medium
10726,7,Medium
10727,13,high
10728,3,Low
10729,19,high
10730,10,high
10731,28,high
10732,8,high
10733,12,high
10734,13,high
10735,4,Low
10736,3,Low
10737,4,Low
10738,3,Low
10739,4,Low
10740,11,high
10741,4,Low
10742,3,Low
10743,4,Low
10744,4,Low
10745,11,high
10746,12,high
10747,24,high
10748,27,high
10749,29,high
10750,6,Medium
10751,3,Low
10752,4,Low
10753,3,Low
10754,6,Medium
10755,4,Low
